conversation_ID,utterance_ID,speaker,text,emotion
12,9,Phoebe,"We are sorry for the inconvenience , and hope you will accept this football phone ... as our free gift . Do you believe this ? ! Now I have a thousand dollars , and a football phone !",surprise
13,1,Monica,How was the game ?,neutral
13,2,Ross,Well ...,neutral
13,3,All,WE WON ! ! Thank you ! Yes !,joy
13,4,Monica,Fantastic ! I have one question : How is that possible ?,surprise
13,5,Joey,Alan .,neutral
13,6,Ross,"He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ...",joy
13,7,Rachel,"I mean , it ... it was like , it was like he made us into a team .",joy
13,8,Chandler,"Yep , we sure showed those Hassidic jewellers a thing or two about softball ...",joy
13,9,Monica,Can I ask you guys a question ? Do you ever think that Alan is maybe ... sometimes ...,neutral
13,10,Ross,What ?,surprise
13,11,Monica,"I do not know , a little too Alan ?",neutral
13,12,Rachel,"Well , no . That is impossible . He can never be too Alan .",surprise
13,13,Ross,"Yeah , it is his , uh , innate Alan ... ness that ... that ... that we adore .",joy
13,14,Chandler,I personally could have a gallon of Alan .,neutral
14,1,Chandler,"Well , maybe it is a contest , you know ? Like , collect all five ?",neutral
14,2,Phoebe,"Does , um , anyone wanna see ?",neutral
14,3,All,Nooo ...,disgust
14,4,All,"Oh , hey , do not do that ! Cut it out !",anger
14,5,Rachel,It is worse than the thumb !,disgust
14,6,Chandler,"Hey , this is so unfair !",anger
14,7,Monica,"Oh , why is it unfair ?",surprise
14,8,Chandler,So I have a flaw !,anger
14,9,Chandler,Big deal !,anger
14,10,Chandler,Like Joey constant knuckle ... cracking is not annoying ?,anger
14,11,Chandler,"And Ross , with his over ... pronouncing every single word ?",anger
14,12,Chandler,"And Monica , with that snort when she laughs ?",anger
14,13,Chandler,"I mean , what the hell is that thing ?",disgust
14,14,Chandler,"... I accept all those flaws , why can not you accept me for this ?",anger
14,15,Joey,... Does the knuckle ... cracking bother everybody ?,anger
14,16,Rachel,"Well , I ... I could live without it .",neutral
14,17,Joey,"Well , is it , like , a little annoying , or is it like when Phoebe chews her hair ?",neutral
14,18,Ross,"Oh , now , do not listen to him , Pheebs , I think it is endearing .",neutral
14,19,Joey,"Oh , "" you do , do you "" ?",anger
14,20,Ross,"You know , there is nothing wrong with speaking correctly .",neutral
14,21,Rachel,""" Indeed there is not "" ... I should really get back to work .",neutral
14,22,Phoebe,"Yeah , cause otherwise someone might get what they actually ordered .",neutral
14,23,Rachel,"Ohh ... ho ... hooohhh . The hair comes out , and the gloves come on .",anger
15,1,Joey,Do you have any respect for your body ?,disgust
15,2,Ross,Do not you realise what you are ... you are doing to yourself ?,disgust
15,3,Chandler,"Hey , you know , I have had it with you guys and your cancer and your emphysema and your heart disease .",anger
15,4,Chandler,"The bottom line is , smoking is cool , and you know it .",neutral
15,5,Rachel,"Chandler ? It is Alan , he wants to speak to you .",neutral
15,6,Chandler,Really ? He does ?,surprise
15,7,Chandler,"Hey , buddy , what up !",joy
15,8,Chandler,"Oh , she told you about that , huh .",surprise
15,9,Chandler,"Well , yeah , I have one now and then .",neutral
15,10,Chandler,"Well , yeah , now .",neutral
15,11,Chandler,"Well , it is not that big ...",neutral
15,12,Chandler,"Well , that is true ...",neutral
15,13,Chandler,"Gee , you know , no one ... no one ever put it like that before .",joy
15,14,Chandler,"Well , okay , thanks !",joy
15,15,Rachel,"God , he is good .",joy
15,16,Ross,If only he were a woman .,neutral
15,17,Rachel,Yeah .,neutral
17,1,Rachel,Remember when we went to Central Park and rented boats ? ... That was fun .,sadness
17,2,Ross,Yeah . He could row like a viking .,sadness
17,3,Monica,Hi .,neutral
17,4,All,Mmm .,neutral
17,5,Ross,So how would it go ?,neutral
17,6,Monica,"Oh , you know ...",neutral
17,7,Phoebe,Did he mention us ?,neutral
17,8,Monica,He said he is really gonna miss you guys .,neutral
17,9,Ross,"You had a rough day , huh ?",sadness
17,10,Monica,"Oh , you have no idea .",sadness
19,1,Monica,How does she do that ?,surprise
19,2,Ross,I cannot sleep in a public place .,neutral
19,3,Monica,Would you look at her ? She is so peaceful .,joy
19,4,Phoebe,Oh ! What what what ! ... Hi .,surprise
19,5,Ross,"It is okay , you know , you just nodded off again .",neutral
19,6,Monica,What going on with you ?,surprise
19,7,Phoebe,I got no sleep last night !,anger
19,8,Ross,Why ?,neutral
19,9,Phoebe,"My grandmother has this new boyfriend , and they are both kind of insecure in bed ... and deaf .",disgust
19,10,Phoebe,"So they are constantly , like , having to reassure each other that they are having a good time .",neutral
19,11,Phoebe,You have no idea how loud they are !,disgust
19,12,Monica,"Well , if you want , you can stay with Rachel and me tonight .",neutral
19,13,Phoebe,Thanks .,joy
21,1,Rachel,"So c mon , you guys , tell me all the dirt !",joy
21,2,Kiki,"Well , the biggest news is still you dumping Barry at the altar !",joy
21,3,Joanne,Alright . Let talk reality for a second .,neutral
21,4,Rachel,Okay .,neutral
21,5,Joanne,When are you coming home ?,neutral
21,6,Rachel,"What ? Guys , I am not .",surprise
21,7,Joanne,"C mon , this is us .",neutral
21,8,Rachel,I am not ! This is what I am doing now . I have got this job ...,neutral
21,9,Kiki,Waitressing ?,surprise
21,10,Rachel,"Okay , I am not just waitressing . I am ... I , um ...",neutral
21,11,Rachel,"I write the specials on the specials board , and , uh ...",neutral
21,12,Rachel,"and I , uh ... I take the uh dead flowers out of the vase ... Oh , and , um , sometimes Artelle lets me put the little chocolate blobbies on the cookies .",joy
22,1,Monica,"Hey , Rach . How was it with your friends ?",neutral
22,2,Monica,Okay ! How would you like some Tiki Death Punch ?,joy
22,3,Rachel,What that ?,neutral
22,4,Monica,"Weeeell , it is rum , and ...",neutral
24,1,Receptionist,"Well , you will have to wait your turn .",neutral
24,2,Joey,"Well , how long do you think it will be ?",neutral
24,3,Receptionist,Any minute now .,neutral
25,1,Rachel,"I am so sorry , you guys . I did not mean to bring you down .",sadness
25,2,Monica,"No , you were right . I do not have a plan .",sadness
25,3,Pizza Guy,Pizza guy !,neutral
25,4,Rachel,Thank God . Food .,joy
25,5,Monica,Phoebe ?,neutral
25,6,Phoebe,What ?,neutral
25,7,Monica,Do you have a plan ?,neutral
25,8,Phoebe,I do not even have a pl .,sadness
25,9,Pizza Guy,"Hi , one , uh , mushroom , green pepper and onion ?",neutral
25,10,Rachel,"No , no , that is not what we ordered ... We ordered a fat ... free crust with extra cheese .",sadness
25,11,Pizza Guy,"Wait , you are not G . Stephanopoulos ? Man , my dad gonna kill me !",sadness
25,12,Monica,Wait ! Did you say G . Stephanopoulos ?,surprise
25,13,Pizza Guy,"Yeah . This one goes across the street , I must have given him yours . Oh , bonehead , bonehead !",anger
25,14,Monica,"Wait , was this a ... a small mediterranean guy with curiously intelligent good looks ?",surprise
25,15,Pizza Guy,"Yeah , that sounds about right .",neutral
25,16,Monica,Was he wearing a stunning blue suit ?,joy
25,17,Phoebe,And ... and a power tie ?,neutral
25,18,Pizza Guy,"No , pretty much just a towel .",neutral
25,19,Monica,Oh God .,surprise
25,20,Pizza Guy,So you guys want me to take this back ?,sadness
25,21,Monica,Are you nuts ? ! We have got George Stephanopoulos pizza !,surprise
25,22,Rachel,"Uh , Pheebs ? Who George Snuffalopagus ?",neutral
25,23,Phoebe,Big Bird friend .,neutral
25,24,Monica,I see pizza !,joy
25,25,Phoebe,"Oh , I wanna see ! Let me see ! Let me see !",joy
25,26,Rachel,Hello ? Who are we spying on ?,sadness
27,1,Monica,Light still out ?,neutral
27,2,Rachel,Yeah .,neutral
27,3,Monica,Oh . Maybe they are ... napping .,neutral
27,4,Rachel,"Oh please , they are having sex .",sadness
27,5,Monica and Phoebe,Shut up !,anger
27,6,Rachel,"So , whaddya think George is like ?",neutral
27,7,Monica,I think he is shy .,neutral
27,8,Phoebe,Yeah ?,surprise
27,9,Monica,Yeah . I think you have to draw him out . And then ... when you do ... he is a preppy animal .,neutral
29,1,Phoebe,There he is ! There he is !,surprise
29,2,Monica,Where ?,surprise
29,3,Phoebe,Right ... where we have been looking all night !,joy
29,4,Rachel,He is so cute !,joy
29,5,Monica,"Oh , George , baby , drop the towel !",joy
29,6,All,"Yeah , drop it ! Drop the towel ! Please drop the ... wowww .",joy
30,1,Joey,Man . Can you believe he is only had sex with one woman ?,surprise
30,2,Chandler,"I think it is great . You know , it is sweet , it is romantic ...",joy
30,3,Joey,Really ?,surprise
30,4,Chandler,"No , you kidding ? The guy a freak . I judge him .",disgust
30,5,Both,"Hey , buddy .",neutral
30,6,Receptionist,"Oh , that is attractive .",joy
30,7,Chandler,"Oh , I thought you were great in Silence of the Lambs .",joy
30,8,Chandler,"Oh come on , admit it ! All things considered , you had fun tonight .",joy
30,9,Ross,"Fun ? Where was the fun ? Tell me specifically , which part was the fun part ? Where is my puck ?",disgust
30,10,Joey,"Oh , ah ... the kid has it .",neutral
30,11,Ross,The kid ... ?,surprise
30,12,Ross,"Excuse me , uh , that is , that is my puck .",neutral
30,13,Kid,"I found it . Finders keepers , losers weepers .",neutral
30,14,Chandler,"You gotta do it , man .",neutral
30,15,Ross,"Oh yeah ? Well , I am rubber , you are glue , whatever you ... can not do it .",anger
30,16,Ross,"Listen , uh ... gimme back my puck .",neutral
30,17,Kid,No !,neutral
30,18,Ross,"Yes , how about . C mere . Gimme ! Give me my puck .",anger
30,19,Receptionist,Hey ! Hey ! No rough holding in my ER !,anger
30,20,Ross,GIVE ME MY PUCK ! !,anger
30,21,Ross,... Now that was fun .,joy
31,1,Ross,"Okay , Monica : Right foot red .",neutral
31,2,Monica,"Could have played Monopoly , but nooooo .",neutral
31,3,Chandler,Thanks .,neutral
31,4,Ross,"Okay , Pheebs : Right hand blue . Good .",neutral
31,5,Chandler,"Hello ? Oh , uh , Rachel , it is the Visa card people .",neutral
31,6,Rachel,"Oh , okay . Will you take my place ?",neutral
31,7,Chandler,"Alright . Yes , this is Rachel .",neutral
31,8,Rachel,Nooo !,surprise
31,9,Rachel,Hello ?,neutral
31,10,Rachel,"Oh , yeah , no , I know , I ... I have not been using it much .",neutral
31,11,Rachel,"Oh , well , thanks , but , I am okay , really .",joy
31,12,Ross,Green . To the green .,neutral
31,13,Rachel,I have got magic beans . Never ... never mind .,neutral
31,14,Chandler,"To the left , to the left ... aww !",neutral
31,15,Rachel,Ohhh ... I am fine .,neutral
32,1,Monica,"Oh , god help us .",surprise
32,2,Joey,What ?,surprise
32,3,Monica,Ugly Naked Guy laying kitchen tile . Eww !,disgust
32,4,Joey,"Look , I am asking a favor here . If I do this for her brother , maybe Angela will come back to me .",sadness
32,5,Joey,"I know , but , I made a huge mistake . I never should have broken up with her . Will you help me ? Please ?",sadness
33,1,Ross,"Ok , bye . Well , Monica not coming , it is just gonna be me and Rachel .",neutral
33,2,Chandler,"Oh . Well , hold on camper , are you sure you have thought this thing through ?",neutral
33,3,Ross,It is laundry . The thinking through is minimal .,neutral
33,4,Chandler,"It is just you and Rachel , just the two of you ? This is a date . You are going on a date .",joy
33,5,Ross,Nuh ... uh .,fear
33,6,Chandler,Yuh ... huh .,joy
33,7,Ross,"So what are you saying here ? I should shave again , pick up some wine , what ?",surprise
33,8,Chandler,"Well , you may wanna rethink the dirty underwear .",disgust
33,9,Chandler,This is basically the first time she is gonna see your underwear ... you want it to be dirty ?,surprise
33,10,Ross,No .,sadness
33,11,Chandler,"Oh , and uh , the fabric softener ?",neutral
33,12,Ross,"Ok , ok , now what is wrong with my Snuggles ?",anger
34,1,Chandler,"Well , I am gonna get another espresso . More latte ?",neutral
34,2,Janice,"No , no , I am still working on mine .",neutral
34,3,Chandler,That is it ?,surprise
34,4,Phoebe,"Yeah , it was really hard .",sadness
34,5,Chandler,"Oh , yeah , that hug looked pretty brutal .",neutral
34,6,Phoebe,"Ok , you were not there .",anger
35,1,Woman,"Coming through . Move , move .",anger
35,2,Rachel,"Oh , excuse me . I was kinda using that machine .",joy
35,3,Woman,"Yeah , well , now you are kinda not .",disgust
35,4,Rachel,But I saved it . I put my basket on top .,neutral
35,5,Woman,"Oh , I am sorry , is that your basket ? It is really pretty . Unfortunately , I do not see suds .",anger
35,6,Rachel,What ?,surprise
35,7,Woman,"No suds , no save . Ok ?",anger
35,8,Ross,What going on ?,neutral
35,9,Rachel,"Hi , uh , nothing . That horrible woman just took my machine .",sadness
35,10,Ross,Was your basket on top ?,neutral
35,11,Rachel,"Yeah , but , there were no suds .",neutral
35,12,Ross,So ?,neutral
35,13,Rachel,"Well , you know , no suds , no save .",neutral
35,14,Ross,"No suds ? Excuse me , hold on a second . That is my friend machine .",anger
35,15,Woman,"Hey , hey , hey , her stuff was not in it .",anger
35,16,Ross,"Hey , hey , hey , that is not the rule and you know it .",anger
36,1,Monica,"He is so cute . So , where did you guys grow up ?",joy
36,2,Angela,Brooklyn Heights .,neutral
36,3,Bob,Cleveland .,neutral
36,4,Monica,"How , how did that happen ?",surprise
36,5,Joey,Oh my god .,surprise
36,6,Monica,What ?,surprise
36,7,Joey,I suddenly had the feeling that I was falling . But I am not .,neutral
37,1,Joey,"So , you and Angela , huh ?",neutral
37,2,Bob,Yep . Pretty much .,joy
38,1,Monica,"I have gotta tell you , Bob is terrific .",joy
38,2,Angela,"Yeah , is not he ?",joy
38,3,Monica,"It is so great to meet a guy who is smart and funny , and has an emotional age beyond , like eight .",joy
38,4,Angela,You know what else ? He is unbelievable in bed .,joy
38,5,Monica,Wow . My brother never even told me when he lost his virginity .,surprise
38,6,Angela,Huh . That is nice .,neutral
39,1,Phoebe,"Ok , you can do this .",neutral
39,2,Phoebe,It is just like pulling off a Band ... aid .,neutral
39,3,Phoebe,"Just do it really fast , and then the wound is exposed .",neutral
39,4,Chandler,"Janice . Hi , Janice .",neutral
39,5,Chandler,"Ok , here we go . I do not think we should go out anymore .",sadness
39,6,Chandler,Janice .,fear
39,7,Janice,"All right . Well , there you go . Stop it , stop it , stop it .",sadness
40,1,Rachel,"Ok , I know this is gonna sound really stupid , but I feel that if I can do this , you know , if I can actually do my own laundry , there is not anything I can not do .",joy
40,2,Ross,That does not sound stupid to me .,neutral
40,3,Ross,"You know , it is like the first time I had to make dinner for myself , after Carol left me ?",neutral
40,4,Ross,"I am sorry , that is all the time we have .",sadness
40,5,Ross,Next on Ross ...,neutral
40,6,Ross,Ok . Uh ... oh .,fear
40,7,Rachel,What uh ... oh ?,neutral
40,8,Ross,"Uh ... oh , uh ... oh , the laundry done . It is , uh , it is a song . The laundry song that we sing . Uh ... oh the laundry done , uh ... oh , uh ... oh .",fear
40,9,Rachel,"Ross , what the matter ?",anger
40,10,Ross,"Nothing , nothing . Lee ... lo , the laundry done .",fear
41,1,Monica,"Something went wrong with Underdog , and they could not get his head to inflate .",joy
41,2,Monica,"So anyway , um , his head is like flopping down Broadway , right , and I am just thinking ... how inappropriate this is .",joy
41,3,Monica,"Um , I have got something in my eye , uh , Joey , could we check it in the light , please ?",neutral
41,4,Monica,Oh my god .,surprise
41,5,Joey,What ?,surprise
41,6,Monica,Hello ! Were we at the same table ? It is like ... cocktails in Appalachia .,anger
41,7,Joey,"Come on , they are close .",neutral
41,8,Monica,Close ? She is got her tongue in his ear .,disgust
41,9,Joey,"Oh , like you have never gotten a little rambunctious with Ross .",neutral
41,10,Monica,"Joey , this is sick , it is disgusting , it is , it is ... not really true , is it ?",disgust
41,11,Joey,"Well , who to say what true ? I mean ...",neutral
41,12,Monica,"Oh my god , what were you thinking ?",disgust
41,13,Joey,"All right , look , I am not proud of this , ok ? Well , maybe I am a little .",neutral
41,14,Monica,Oh !,surprise
41,15,Joey,Ow !,surprise
41,16,Monica,I am outta here .,disgust
41,17,Joey,"Wait , wait , wait . Come on . You want him , I want her . He likes you .",sadness
41,18,Monica,Really ?,surprise
41,19,Joey,"Yeah . I am thinking , if we put our heads together , between the two of us , we can break them up .",neutral
42,1,Chandler,"Here is the thing , Janice . You know , I mean , it is like we are different . I am like the bing , bing , bing . You are like the boom , boom , ... boom .",neutral
42,2,Janice,Ow !,surprise
42,3,Chandler,"Oh , my god , I am so sorry . Are you ok ?",surprise
42,4,Janice,"Ow . Um , it is just my lens . It is just my lens . I will be right back .",sadness
42,5,Chandler,I hit her in the eye ! I hit her in the eye ! This is the worst break ... up in the history of the world .,sadness
42,6,Phoebe,Oh my god !,surprise
42,7,Phoebe,How many of those have you had ?,neutral
42,8,Chandler,"Oh , I do not know , a million ?",joy
42,9,Phoebe,"Chandler , easy , easy . Go to your happy place . La la la la la la la .",neutral
42,10,Chandler,I am fine .,neutral
42,11,Phoebe,All right .,neutral
42,12,Chandler,I am not fine . Here she comes .,fear
42,13,Phoebe,Wait here . Breathe .,neutral
42,14,Chandler,How do you do that ?,surprise
42,15,Phoebe,It is like a gift .,neutral
42,16,Chandler,We should always always break up together .,neutral
42,17,Phoebe,"Oh , I would like that .",neutral
44,1,Rachel,"Oh , are you sure you are ok ?",sadness
44,2,Ross,Yeah .,neutral
44,3,Rachel,Does it still hurt ?,sadness
44,4,Ross,Yeah .,sadness
44,5,Phoebe,What a neat idea . All your clothes match . I am gonna do this .,joy
44,6,Monica,Hi .,neutral
44,7,Phoebe,"Hey , how would it go ?",neutral
44,8,Joey,Excellent .,joy
44,9,Monica,"We ripped that couple apart , and kept the pieces for ourselves .",joy
44,10,Ross,What a beautiful story .,joy
44,11,Ross,"Hey , I am fine by the way .",neutral
44,12,Monica,"Oh , I am sorry .",sadness
44,13,Rachel,Where is Chandler ?,neutral
44,14,Phoebe,"Oh , he needed some time to grieve .",neutral
44,15,Chandler,I am free ! I am free !,joy
44,16,Phoebe,That oughta do it .,neutral
45,1,Rachel,I feel violated .,sadness
45,2,Monica,"Did anybody else feel they just wanted to peel the skin off their body , to have something else to do ?",disgust
45,3,Chandler,"Ross , ten o clock .",neutral
45,4,Ross,Is it ? Feels like two .,sadness
45,5,Chandler,"No , ten o clock .",neutral
45,6,Ross,What ?,surprise
45,7,Chandler,"There is a beautiful woman at eight , nine , ten o clock !",joy
45,8,Ross,Oh . Hel ... lo !,joy
45,9,Chandler,"She is amazing ! She makes the women that I dream about look like short , fat , bald men !",surprise
45,10,Monica,"Well , go over to her ! She is not with anyone .",joy
45,11,Chandler,"Oh yeah , and what would my opening line be ? Excuse me . Blarrglarrghh .",fear
45,12,Rachel,"Oh , c mon . She is a person , you can do it !",joy
45,13,Chandler,"Oh please , could she be more out of my league ? Ross , back me up here .",neutral
45,14,Ross,He could never get a woman like that in a million years .,neutral
45,15,Chandler,"Thank you , buddy .",neutral
45,16,Phoebe,"Oh , oh , but you know , you always see these really beautiful women with these really nothing guys , you could be one of those guys .",neutral
45,17,Monica,You could do that !,joy
45,18,Chandler,You think ?,surprise
48,1,Director,"... Dammit , hire the girl ! Okay , everybody ready ?",anger
48,2,Joey,"Uh , listen , I just wanna thank you for this great opportunity .",joy
48,3,Director,Lose the robe .,neutral
48,4,Joey,Me ?,surprise
50,1,Chandler,"Oh my God , it is her , it is that Victoria Secret model . Something ... something Goodacre .",surprise
50,2,Jill,"Hi Mom , it is Jill .",neutral
50,3,Chandler,"She is right , it is Jill . Jill Goodacre . Oh my God . I am trapped in an ATM vestibule with Jill Goodacre !",surprise
50,4,Jill,"Yeah , I am fine . I am just stuck at the bank , in an ATM vestibule .",neutral
50,5,Chandler,Jill says vestibule ... I am going with vestibule .,neutral
50,6,Jill,"I am fine . No , I am not alone ... I do not know , some guy .",neutral
50,7,Chandler,"Oh ! Some guy . Some guy . Hey Jill , I saw you with some guy last night . Yes , he was some guy .",joy
53,1,Rachel,"Alright , somebody .",neutral
53,2,Monica,"OK , I will go . OK , senior year of college ... on a pool table .",neutral
53,3,All,Whoooaa !,surprise
53,4,Ross,That is my sister .,neutral
53,5,Joey,OK ... my weirdest place would have to be ... the women room on the second floor of the New York CIty public library .,neutral
53,6,Monica,Oh my God ! What were you doing in a library ?,surprise
53,7,Ross,"Pheebs , what about you ?",neutral
53,8,Phoebe,Oh ... Milwaukee .,neutral
53,9,Rachel,Um ... Ross ?,neutral
53,10,Ross,"Disneyland , 1989 , It is a Small World After All .",neutral
53,11,All,No way !,surprise
53,12,Ross,The ride broke down .,neutral
53,13,Ross,"So , Carol and I went behind a couple of those mechanical Dutch children ... then they fixed the ride , and we were asked never to return to the Magic Kingdom .",neutral
53,14,Phoebe,"Oh , Rachel .",neutral
54,1,Ross,"See , I see ... big passion in your future .",neutral
54,2,Rachel,Really ?,surprise
54,3,Ross,Mmmm .,neutral
54,4,Rachel,You do ?,surprise
54,5,Ross,I do .,neutral
54,6,Rachel,"Oh Ross , you are so great .",joy
55,1,Joey,"OK , you have got to promise that you will never , ever tell Ross that I told you .",neutral
55,2,Monica,About what ?,neutral
55,3,Joey,He is planning your birthday party .,neutral
55,4,Monica,Oh my God ! I love him !,surprise
55,5,Joey,You would better act surprised .,neutral
55,6,Phoebe,About what ?,neutral
55,7,Monica,My surprise party !,joy
55,8,Phoebe,What surprise party ?,surprise
55,9,Monica,Oh stop it . Joey already told me .,joy
55,10,Phoebe,"Well , he did not tell me .",neutral
55,11,Joey,"Hey , do not look at me . This is Ross thing .",neutral
55,12,Phoebe,This is so typical . I am always the last one to know everything .,anger
55,13,Monica,"No , you are not . We tell you stuff .",neutral
55,14,Phoebe,Yuh ... huh !,anger
55,15,Phoebe,I was the last one to know when Chandler got bitten by the peacock at the zoo .,anger
55,16,Phoebe,I was the last one to know when you had a crush on Joey when he was moving in .,anger
55,17,Joey,What ?,surprise
55,18,Phoebe,Looks like I was second to last .,surprise
56,1,Rachel,Hmmm ... this is so nice .,joy
56,2,Ross,"OK , I have a question . Well , actually , it is not so much a question as ... more of a general wondering ... ment .",neutral
56,3,Rachel,OK .,neutral
56,4,Ross,"OK . Here goes . For a while now , I have been wanting to , um ...",neutral
56,5,Rachel,Ohhh ! ! ! !,surprise
56,6,Ross,"Yes , yes , that is right ...",neutral
56,7,Rachel,"Oh , look at the little cat !",surprise
56,8,Ross,What ?,surprise
56,9,Ross,Ow !,fear
57,1,Monica,This is just Bactine . It will not hurt .,neutral
57,2,Joey,"Sorry , that was wax .",neutral
57,3,Phoebe,"Oh , poor little Tooty is scared to death . We should find his owner .",sadness
57,4,Ross,Why do not we just put poor little Tooty out in the hall ?,disgust
57,5,Rachel,During a blackout ? He would get trampled !,anger
57,6,Ross,Yeah ?,neutral
59,1,Phoebe,"Oh , look look look .",surprise
59,2,Phoebe,The last candle about to burn out .,neutral
59,3,Phoebe,"10 , 9 , 8 , 7 ... negative 46 , negative 47 , negative 48 ...",neutral
59,4,Ross,Thank you .,neutral
59,5,Phoebe,Thanks .,neutral
